Tour;Tournament Year;Tournament #;Permanent Tournament #;Course #;Team ID;Team Number;Player Number;Player Name;Round Number;Event Name;Course Name;Course Par;Course Yardage;Tee Time;Round Score;End of Round Finish Pos. (numeric);End of Round Finish Pos. (text); End of Event Pos. (numeric);End of Event Pos. (text);In Playoff;Eagles;Eagles(Rank);Birdies;Birdies (Rank);Pars;Bogeys;Bogeys (Rank);Doubles;Others;Total Holes Over Par; Bogey Avoidance Rank;Longest Drive;Longest Drives(Rank);Driving Distance(Total Distance);Driving Distance(Total Drives);Driving Distance(Rank);Driving Dist. - All Drives(Tot. Dist.);Driving Dist. - All Drives(# of Drives);Driving Dist. - All Drives(Rank);Drives Over 300 Yards (# of Drives);Driving Acc. %(Fairways Hit);Driving Acc. %(Possible Fairways);Driving Accuracy Rank;Left Rough Tendency(Total Left Rough);Right Rough Tendency(Total Right Rough);App.   50-75 yds(ft);App.   50-75 yds(attempts);App.   75-100 yds(ft);App.   75-100 yds(attempts);App.   100-125 yds(ft);App.   100-125 yds(attempts);Approaches   50-125 Yards(ft);Approaches   50-125 Yards(attempts);Approaches   125-150 Yards(ft);Approaches   125-150 Yards(attempts);Approaches   150-175 Yards(ft);Approaches   150-175 Yards(attempts);Approaches   175-200 Yards(ft);Approaches   175-200 Yards(attempts);Approaches   >200 Yards(ft);Approaches   >200 Yards(attempts);App.   50-75 yds(ft) - Rough;App.   50-75 yds(attempts) - Rough;App.   75-100 yds(ft) - Rough;App.   75-100 yds(attempts) - Rough;App.   100-125 yds(ft) - Rough;App.   100-125 yds(attempts) - Rough;Approaches   50-125 Yards(ft) - Rough;Approaches   50-125 Yards(attempts) - Rough;Approaches   125-150 Yards(ft) - Rough;Approaches   125-150 Yards(attempts) - Rough;Approaches   150-175 Yards(ft) - Rough;Approaches   150-175 Yards(attempts) - Rough;Approaches   175-200 Yards(ft) - Rough;Approaches   175-200 Yards(attempts) - Rough;Approaches   >200 Yards(ft) - Rough;Approaches   >200 Yards(attempts) - Rough;Total Holes Played;Total Greens in Regulation;GIR Rank;Total Distance(ft) Prox to Hole; # of Attempts Prox to Hole;Proximity to Hole (Rank);Fairway Prox(attempts);Fairway Prox(distance in ft);Fairway Prox (Rank);Rough Prox(attempts);Rough Prox(distance in ft);Rough Prox (Rank);Left Rough Prox(attempts);Left Rough Prox(distance in ft);Right Rough Prox(attempts);Right Rough Prox(distance in ft);Going for Green(attempts);Going for Green(non-attempts);Going for the Green(successes);Scrambling Par or Better;Scrambling Missed GIR;Scrambling (Rank);Scrambling Proximity (Total Distance);Scrambling Proximity (# of shots);Scrambling Proximity (rank);Scrambling from the Rough(successes);Scrambling from the Rough(attempts);Scrambling from the Fringe(successes);Scrambling from the Fringe(attempts);Scrambling   >30 Yards(successes); Scrambling   >30 Yards(attempts);Scrambling   20-30 Yards(successes); Scrambling   20-30 Yards(attempts);Scrambling   10-20 Yards(successes); Scrambling   10-20 Yards(attempts);Scrambling   < 10 Yards(successes); Scrambling   < 10 Yards(attempts);Sand Save %(# Saves);Sand Save %(# Bunkers);Sand Save (Rank);Prox to Hole from Sand(Total Distance); Prox to Hole from Sand(# of Shots);Total Hole Outs;Longest Hole Out(yards);Overall Putting Avg(# of Putts); Putting Avg(GIR Putts);One-Putt %(# of One Putts);3-Putt Avoid(Total 3 Putts);Approach Putt Performance(attempts);Approach Putt Performance(ft));Avg Distance of Putts Made(Total Distance of Putts);Putting   3'(attempts);Putting   3'(putts made);Putting   4'(attempts);Putting   4'(putts made);Putting   5'(attempts);Putting   5'(putts made);Putting   6'(attempts);Putting   6'(putts made);Putting   7'(attempts);Putting   7'(putts made);Putting   8'(attempts);Putting   8'(putts made);Putting   9'(attempts);Putting   9'(putts made);Putting   10'(attempts);Putting   10'(putts made);Putting Inside 5' (putts made);Putting Inside 5' (attempts);Putting Inside 5 Feet (Rank);Putting   5' - 10' (putts made);Putting   5' - 10' (attempts);Putting   5' - 10' (Rank);Putting   4'-8'(attempts);Putting   4'-8'(putts made);Putting   4' - 8' (Rank);Putting-Inside 10'(attempts);Putting-Inside 10'(putts made);Putting-Inside 10'(rank);Putting   10'-15'(attempts);Putting   10'-15'(putts made);Putting   10'-15'(rank);Putting   15-20'(attempts);Putting   15'-20'(putts made);Putting   15'-20'(rank);Putting   20'-25'(attempts);Putting   20'-25'(putts made);Putting   20'-25'(rank);Putting   >25'(attempts);Putting   >25'(putts made);Putting   >25'(rank);Putting   > 10' (putts made);Putting   > 10' (attempts);Putting   > 10' (rank);Total Putts Gained;
R;2014;010;464;775;  ;000;25444;Hicks, Justin;01;Frys.com Open;CordeValle GC;71;07379;12:50;068;010; T10;016; T16;;  00000000000;  6;          4;22;         13;          1;8;;;              1;005;00000000344;27;00000000608;00000000002;26;00000004108;00000000014;41;          6;00000000011;00000000014;  4;00000000000;00000000002;;000;          9.500;001;         55.667;003;         65.167;00000000004;         71.583;004;         27.917;001;;000;        271.917;006;  ;;;;;;;;     29.750;          1;     51.083;          1;;;;;00000000018;  00000000016;1;        575.333;00000000018;  57;00000000015;    436.583;53;00000000002;     80.833;75;00000000000;;00000000002;     80.833;  00000000002;00000000001;00000000000;00000000001;00000000002;67;      9.583;          2;22;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000031;00000000028;00000000005;00000000000;00000000013;     34.000;00000000856;00000000009;00000000009;00000000001;00000000001;  00000000001;00000000001;00000000002;00000000002;00000000002;00000000002;00000000001;00000000000;00000000001;00000000001;00000000001;00000000000;         11;         11;1;          7;            5;28;00000000006;00000000005;35;00000000018;00000000016;47;00000000003;00000000002;7;00000000002;00000000000;36;00000000000;00000000000;;00000000008;00000000000;26;          2;         13;53;  1.395;
R;2014;010;464;775;  ;000;25632;Walker, Jimmy;01;Frys.com Open;CordeValle GC;71;07379;12:00;070;034; T34;001;   1;;  00000000000;  6;          5;9;          9;          4;92;;;              4;082;00000000328;132;00000000586;00000000002;64;00000004107;00000000014;43;          6;00000000008;00000000014;  51;00000000002;00000000002;;000;         10.917;001;         77.583;005;         88.500;00000000006;;000;         60.750;001;        134.000;002;        235.083;003;  ;;;;     31.833;          2;     31.833;          2;     23.333;          1;;;;;     90.333;          1;00000000018;  00000000014;14;        693.333;00000000018;  92;00000000012;    518.333;123;00000000004;    145.500;62;00000000002;    113.667;00000000002;     31.833;  00000000001;00000000002;00000000000;00000000001;00000000004;126;     32.333;          4;61;00000000001;00000000001;00000000000;00000000000;00000000001;00000000002;00000000000;00000000001;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;75;           18.500;00000000001;00000000000;00000000000;00000000031;00000000024;00000000006;00000000001;00000000012;     24.833;00000000823;00000000012;00000000012;00000000000;00000000000;  00000000003;00000000002;00000000001;00000000001;00000000002;00000000001;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;         15;         14;96;          5;            3;49;00000000007;00000000004;81;00000000020;00000000017;69;00000000002;00000000000;76;00000000001;00000000000;36;00000000004;00000000001;19;00000000004;00000000000;26;          1;         11;75;  .077-;
R;2014;010;464;775;  ;000;25720;Collins, Chad;01;Frys.com Open;CordeValle GC;71;07379;08:50;072;066; T66;072; T72;;  00000000000;  6;          2;72;         13;          3;61;;;              3;049;00000000311;427;00000000561;00000000002;103;00000003979;00000000014;100;          4;00000000010;00000000014;  14;00000000001;00000000002;;000;;000;         89.583;005;         89.583;00000000005;         80.417;003;         34.583;002;;000;        194.583;005;  ;;;;;;;;;;     74.333;          2;;;;;00000000018;  00000000015;7;        500.417;00000000018;  23;00000000015;    399.167;31;00000000002;     74.333;66;00000000001;     59.917;00000000001;     14.417;  00000000001;00000000002;00000000001;00000000001;00000000003;112;     12.750;          3;14;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000002;00000000000;00000000001;00000000000;00000000001;75;            6.333;00000000001;00000000000;00000000000;00000000035;00000000030;00000000002;00000000001;00000000016;     36.917;00000000474;00000000015;00000000015;00000000001;00000000001;  00000000001;00000000001;00000000001;00000000000;00000000002;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000000;         17;         17;1;          5;            1;115;00000000004;00000000001;120;00000000022;00000000018;95;00000000004;00000000000;76;00000000002;00000000000;36;00000000001;00000000000;24;00000000006;00000000000;26;;         13;104; 2.691-;
R;2014;010;464;775;  ;000;25834;Summerhays, Daniel;01;Frys.com Open;CordeValle GC;71;07379;11:50;072;066; T66;040; T40;;  00000000000;  6;          3;51;         13;          1;8;;          1;              2;019;00000000321;219;00000000548;00000000002;117;00000003996;00000000014;89;          7;00000000013;00000000014;  1;00000000000;00000000000;         18.417;001;;000;         70.167;003;         88.583;00000000004;        144.750;005;         80.333;003;          4.833;001;        200.000;004;  ;;;;;;;;;;;;;;;;00000000018;  00000000012;51;        518.500;00000000017;  38;00000000017;    518.500;68;00000000000;;;00000000000;;00000000000;;  00000000001;00000000002;00000000001;00000000004;00000000006;30;     32.167;          4;61;00000000000;00000000000;00000000001;00000000001;00000000001;00000000002;00000000001;00000000001;00000000001;00000000002;00000000001;00000000001;00000000002;00000000003;32;           29.167;00000000003;00000000000;00000000000;00000000029;00000000022;00000000007;00000000000;00000000011;     17.833;00000000810;00000000012;00000000012;00000000002;00000000002;  00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000002;00000000000;00000000000;00000000000;         15;         15;1;          3;            1;86;00000000002;00000000002;1;00000000018;00000000016;47;00000000001;00000000001;1;00000000002;00000000001;9;00000000002;00000000000;24;00000000006;00000000000;26;          2;         11;43;  1.939;
R;2014;010;464;775;  ;000;25900;Glover, Lucas;01;Frys.com Open;CordeValle GC;71;07379;07:30;074;100;T100;999; CUT;;  00000000000;  6;          2;72;         12;          3;61;          1;;              4;082;00000000345;20;00000000606;00000000002;30;00000004061;00000000014;64;          6;00000000009;00000000014;  30;00000000002;00000000001;;000;         10.833;001;         59.667;002;         70.500;00000000003;         20.333;001;         57.500;003;         39.500;002;        194.417;004;  ;;;;     72.917;          2;     72.917;          2;     38.750;          1;;;     58.500;          1;;;00000000018;  00000000011;74;        583.417;00000000018;  60;00000000013;    382.250;60;00000000004;    170.167;78;00000000002;     97.250;00000000002;     72.917;  00000000002;00000000001;00000000001;00000000004;00000000007;56;     24.417;          6;11;00000000001;00000000003;00000000002;00000000002;00000000000;00000000001;00000000000;00000000000;00000000003;00000000005;00000000001;00000000001;00000000001;00000000003;61;           24.083;00000000003;00000000000;00000000000;00000000032;00000000022;00000000005;00000000001;00000000013;     29.417;00000000412;00000000013;00000000013;00000000002;00000000002;  00000000003;00000000003;00000000000;00000000000;00000000002;00000000000;00000000000;00000000000;00000000001;00000000000;00000000001;00000000000;         18;         18;1;          4;  ;121;00000000005;00000000003;73;00000000022;00000000018;95;00000000003;00000000000;76;00000000001;00000000000;36;00000000001;00000000000;24;00000000005;00000000000;26;;         10;104; 2.838-;
R;2014;010;464;775;  ;000;25936;Aragon, Alex;01;Frys.com Open;CordeValle GC;71;07379;07:50;068;010; T10;077; T77;;  00000000000;  6;          5;9;         11;          2;25;;;              2;019;00000000324;181;00000000571;00000000002;87;00000004028;00000000014;77;          3;00000000006;00000000014;  101;00000000003;00000000002;;000;;000;         80.750;006;         80.750;00000000006;         50.000;002;         79.083;002;;000;        124.250;003;  ;;;;;;;;     22.333;          1;;;     35.917;          1;     53.000;          1;00000000018;  00000000013;30;        482.417;00000000018;  17;00000000013;    334.083;27;00000000003;    111.250;65;00000000002;     88.917;00000000001;     22.333;  00000000000;00000000003;00000000000;00000000003;00000000005;49;     23.833;          4;40;00000000002;00000000002;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000002;00000000002;00000000000;00000000001;00000000000;00000000000;;  ;00000000000;00000000000;00000000000;00000000027;00000000021;00000000009;00000000000;00000000009;     18.750;00000001049;00000000009;00000000009;00000000001;00000000001;  00000000001;00000000000;00000000001;00000000001;00000000004;00000000004;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;         11;         10;113;          6;            6;1;00000000006;00000000005;35;00000000017;00000000016;23;00000000002;00000000001;15;00000000003;00000000001;18;00000000002;00000000000;24;00000000003;00000000000;26;          2;         10;34;  3.189;
R;2014;010;464;775;  ;000;26476;Reavie, Chez;01;Frys.com Open;CordeValle GC;71;07379;12:40;073;083; T83;051; T51;;  00000000000;  6;          1;106;         14;          3;61;;;              3;049;00000000329;118;00000000539;00000000002;126;00000004080;00000000014;55;          5;00000000009;00000000014;  30;00000000001;00000000003;;000;         30.833;003;         21.417;002;         52.250;00000000005;         56.000;003;         13.917;001;;000;        288.417;005;  ;;;;     12.500;          1;     12.500;          1;;;    101.250;          2;;;;;00000000018;  00000000014;14;        551.583;00000000018;  42;00000000014;    410.583;58;00000000003;    113.750;68;00000000001;     62.500;00000000002;     51.250;  00000000001;00000000002;00000000000;00000000001;00000000004;126;     34.417;          4;68;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000000;00000000001;00000000000;00000000001;00000000000;00000000001;75;           15.500;00000000001;00000000000;00000000000;00000000034;00000000027;00000000002;00000000000;00000000016;     32.083;00000000422;00000000014;00000000014;00000000002;00000000002;  00000000003;00000000002;00000000000;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;00000000000;00000000000;         19;         18;78;          2;  ;121;00000000004;00000000002;84;00000000021;00000000018;64;00000000005;00000000000;76;00000000004;00000000000;36;00000000001;00000000000;24;00000000003;00000000000;26;;         13;104; 3.504-;
R;2014;010;464;775;  ;000;26758;Hearn, David;01;Frys.com Open;CordeValle GC;71;07379;12:00;073;083; T83;021; T21;;  00000000000;  6;          3;51;         12;          2;25;;          1;              3;049;00000000346;19;00000000580;00000000002;79;00000003955;00000000014;109;          4;00000000007;00000000014;  75;00000000001;00000000004;;000;;000;         49.667;003;         49.667;00000000003;         97.167;003;         41.917;003;        139.917;002;        112.333;003;  ;;;;     53.417;          1;     53.417;          1;     25.250;          1;    111.000;          1;     57.083;          1;;;00000000018;  00000000011;74;        687.750;00000000018;  91;00000000014;    441.000;73;00000000004;    246.750;117;00000000001;     53.417;00000000003;    193.333;  00000000000;00000000003;00000000000;00000000004;00000000007;56;     64.500;          6;97;00000000000;00000000001;00000000000;00000000000;00000000000;00000000002;00000000001;00000000002;00000000002;00000000002;00000000001;00000000001;00000000000;00000000002;75;  ;00000000000;00000000000;00000000000;00000000027;00000000019;00000000009;00000000000;00000000009;     27.083;00000000957;00000000008;00000000008;00000000002;00000000002;  00000000001;00000000001;00000000003;00000000003;00000000002;00000000002;00000000000;00000000000;00000000000;00000000000;00000000002;00000000000;         11;         11;1;          7;            5;28;00000000006;00000000006;1;00000000018;00000000016;47;00000000001;00000000001;1;00000000003;00000000001;18;00000000000;00000000000;;00000000005;00000000000;26;          2;          9;28;  2.433;
R;2014;010;464;775;  ;000;26851;Leishman, Marc;01;Frys.com Open;CordeValle GC;71;07379;12:20;073;083; T83;999; CUT;;  00000000000;  6;          2;72;         12;          4;92;;;              4;082;00000000326;156;00000000570;00000000002;92;00000004020;00000000014;79;          6;00000000006;00000000014;  101;00000000000;00000000004;;000;         10.917;001;         58.833;002;         69.750;00000000003;        114.083;006;         67.583;001;;000;         72.417;003;  ;;     14.500;          1;     10.583;          1;     25.083;          2;;;;;;;     75.583;          1;00000000018;  00000000011;74;        634.500;00000000018;  76;00000000013;    323.833;21;00000000003;    100.667;52;00000000000;;00000000003;    100.667;  00000000000;00000000003;00000000000;00000000003;00000000007;91;     47.083;          5;79;00000000001;00000000004;00000000001;00000000001;00000000000;00000000004;00000000001;00000000001;00000000001;00000000001;00000000001;00000000001;00000000000;00000000001;75;           33.583;00000000001;00000000000;00000000000;00000000029;00000000020;00000000007;00000000000;00000000011;     24.500;00000000968;00000000011;00000000011;00000000001;00000000001;  00000000001;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000001;00000000001;         13;         13;1;          3;            2;31;00000000002;00000000001;84;00000000016;00000000015;28;00000000006;00000000003;15;00000000002;00000000000;36;00000000000;00000000000;;00000000005;00000000000;26;          3;         13;26;  1.788;
R;2014;010;464;775;  ;000;26951;Wagner, Johnson;01;Frys.com Open;CordeValle GC;71;07379;12:10;068;010; T10;058; T58;;  00000000000;  6;          3;51;         15;;1;;;;001;00000000333;83;00000000591;00000000002;56;00000004038;00000000014;72;          5;00000000008;00000000014;  51;00000000004;00000000001;;000;         32.583;001;        107.000;003;        139.583;00000000004;         42.750;002;         66.167;002;         65.917;002;        251.583;004;  ;;;;;;;;     18.250;          1;     44.500;          1;     72.583;          1;;;00000000018;  00000000014;14;        728.667;00000000018;  106;00000000014;    566.000;119;00000000003;    135.333;85;00000000002;     90.833;00000000001;     44.500;  00000000001;00000000002;00000000000;00000000004;00000000004;1;     12.167;          4;5;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000000;00000000000;00000000001;00000000001;00000000002;00000000002;00000000001;00000000001;1;            4.333;00000000001;00000000000;00000000000;00000000029;00000000025;00000000007;00000000000;00000000011;     24.417;00000001061;00000000011;00000000011;00000000000;00000000000;  00000000003;00000000003;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000002;00000000000;00000000000;         14;         14;1;          2;            2;1;00000000003;00000000003;1;00000000016;00000000016;1;00000000000;00000000000;;00000000002;00000000001;9;00000000000;00000000000;;00000000011;00000000001;25;          2;         13;53;  3.441;
R;2014;010;464;775;  ;000;26956;La'Cassie, Bronson;01;Frys.com Open;CordeValle GC;71;07379;08:30;079;129;T129;999; CUT;;  00000000000;  6;          2;72;          9;          4;92;          3;;              7;127;00000000318;270;00000000576;00000000002;83;00000004005;00000000014;85;          5;00000000006;00000000014;  101;00000000005;00000000000;;000;         33.417;002;         18.750;002;         52.167;00000000004;         23.917;001;         42.750;003;         88.917;001;        195.750;003;       89.917;          1;;;      9.333;          1;     99.250;          2;;;     41.917;          1;;;    123.250;          2;00000000018;  00000000010;99;        683.000;00000000018;  88;00000000012;    403.500;91;00000000005;    264.417;106;00000000004;    215.833;00000000001;     48.583;  00000000000;00000000003;00000000000;00000000003;00000000008;108;     83.167;          6;112;00000000001;00000000003;00000000000;00000000000;00000000000;00000000002;00000000001;00000000004;00000000001;00000000001;00000000001;00000000001;00000000001;00000000004;71;           15.667;00000000003;00000000000;00000000000;00000000033;00000000020;00000000005;00000000002;00000000013;     32.667;00000000659;00000000012;00000000012;00000000003;00000000003;  00000000003;00000000001;00000000002;00000000000;00000000001;00000000000;00000000000;00000000000;00000000001;00000000000;00000000001;00000000001;         18;         16;116;          5;            1;115;00000000006;00000000001;124;00000000023;00000000017;126;00000000004;00000000001;59;00000000001;00000000000;36;00000000003;00000000000;24;00000000002;00000000000;26;          1;         10;64; 3.919-;
R;2014;010;464;775;  ;000;27064;Vegas, Jhonattan;01;Frys.com Open;CordeValle GC;71;07379;07:30;076;119;T119;999; CUT;;  00000000000;  6;          1;106;         12;          4;92;          1;;              5;106;00000000336;59;00000000654;00000000002;1;00000004287;00000000014;5;         10;00000000008;00000000014;  51;00000000000;00000000002;;000;         12.417;001;         65.333;002;         77.750;00000000003;        256.083;004;        109.000;002;;000;        232.667;005;  ;;;;;;;;     42.667;          1;     14.750;          1;;;;;00000000018;  00000000007;128;        775.833;00000000018;  117;00000000014;    675.500;130;00000000002;     57.417;29;00000000001;     42.667;00000000001;     14.750;  00000000002;00000000001;00000000002;00000000006;00000000011;65;     76.000;          9;67;00000000001;00000000003;00000000002;00000000002;00000000001;00000000002;00000000000;00000000002;00000000004;00000000005;00000000001;00000000001;00000000001;00000000001;1;           24.917;00000000001;00000000000;00000000000;00000000030;00000000015;00000000007;00000000001;00000000011;     29.000;00000000885;00000000011;00000000011;00000000002;00000000002;  00000000003;00000000003;00000000000;00000000000;00000000002;00000000000;00000000000;00000000000;00000000000;00000000000;00000000002;00000000000;         16;         16;1;          4;  ;121;00000000005;00000000003;73;00000000020;00000000016;106;00000000003;00000000001;41;00000000000;00000000000;;00000000002;00000000001;6;00000000005;00000000000;26;          2;         10;34;  .235-;
R;2014;010;464;775;  ;000;27120;Matteson, Troy;01;Frys.com Open;CordeValle GC;71;07379;08:20;072;066; T66;999; CUT;;  00000000000;  6;          3;51;         13;          1;8;;          1;              2;019;00000000339;39;00000000614;00000000002;22;00000004210;00000000014;14;          7;00000000011;00000000014;  4;00000000001;00000000001;;000;          6.250;002;         27.583;002;         33.833;00000000004;         95.667;004;        121.917;004;         70.000;001;        133.583;004;  ;;;;;;;;;;;;;;;;00000000018;  00000000013;30;        494.417;00000000018;  21;00000000017;    455.000;33;00000000000;;;00000000000;;00000000000;;  00000000001;00000000002;00000000001;00000000003;00000000005;49;     48.167;          5;83;00000000001;00000000001;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;00000000002;00000000004;00000000000;00000000000;00000000001;00000000002;42;           10.750;00000000002;00000000000;00000000000;00000000033;00000000024;00000000005;00000000001;00000000013;     26.833;00000000426;00000000017;00000000016;00000000002;00000000002;  00000000001;00000000000;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000000;         20;         18;114;          2;  ;121;00000000002;00000000000;125;00000000022;00000000018;95;00000000003;00000000000;76;00000000003;00000000000;36;00000000001;00000000000;24;00000000004;00000000000;26;;         11;104; 3.793-;
R;2014;010;464;775;  ;000;27330;Teater, Josh;01;Frys.com Open;CordeValle GC;71;07379;08:10;071;050; T50;051; T51;;  00000000000;  6;          3;51;         12;          3;61;;;              3;049;00000000316;310;00000000594;00000000002;49;00000003990;00000000014;94;          5;00000000006;00000000014;  101;00000000003;00000000004;;000;;000;        124.333;003;        124.333;00000000003;;000;         32.833;002;         35.167;001;        249.333;005;  ;;;;     80.250;          2;     80.250;          2;;;     38.250;          1;    156.250;          3;;;00000000018;  00000000010;99;        796.417;00000000018;  126;00000000011;    441.667;118;00000000006;    274.750;90;00000000002;    101.917;00000000004;    172.833;  00000000001;00000000002;00000000001;00000000005;00000000008;42;     44.917;          8;33;00000000002;00000000003;00000000000;00000000000;00000000002;00000000002;00000000001;00000000003;00000000001;00000000002;00000000001;00000000001;00000000001;00000000003;61;           25.583;00000000003;00000000000;00000000000;00000000029;00000000018;00000000007;00000000000;00000000011;     20.083;00000000637;00000000012;00000000012;00000000003;00000000003;  00000000000;00000000000;00000000001;00000000000;00000000001;00000000001;00000000000;00000000000;00000000002;00000000001;00000000000;00000000000;         15;         15;1;          4;            2;57;00000000002;00000000001;84;00000000019;00000000017;38;00000000002;00000000001;15;00000000001;00000000000;36;00000000002;00000000000;24;00000000005;00000000000;26;          1;         10;64;   .315;
R;2014;010;464;775;  ;000;27466;Levin, Spencer;01;Frys.com Open;CordeValle GC;71;07379;12:40;071;050; T50;012; T12;;  00000000000;  6;          2;72;         14;          2;25;;;              2;019;00000000348;15;00000000550;00000000002;115;00000004051;00000000014;69;          6;00000000005;00000000014;  121;00000000003;00000000003;;000;         13.333;001;         12.667;002;         26.000;00000000003;         25.917;001;         16.750;001;         86.500;002;        134.833;003;  ;;;;     38.000;          2;     38.000;          2;;;     61.083;          1;    187.500;          2;     72.167;          1;00000000018;  00000000011;74;        729.833;00000000018;  107;00000000010;    290.000;52;00000000006;    358.750;115;00000000004;    320.750;00000000002;     38.000;  00000000002;00000000001;00000000000;00000000005;00000000007;24;      9.417;          4;2;00000000000;00000000001;00000000000;00000000000;00000000002;00000000004;00000000002;00000000002;00000000000;00000000000;00000000001;00000000001;00000000002;00000000003;32;           27.167;00000000003;00000000001;00000000729;00000000028;00000000021;00000000006;00000000000;00000000011;     20.000;00000000668;00000000010;00000000010;00000000002;00000000002;  00000000001;00000000001;00000000002;00000000001;00000000000;00000000000;00000000001;00000000001;00000000002;00000000001;00000000000;00000000000;         13;         13;1;          5;            3;49;00000000004;00000000003;44;00000000018;00000000016;47;00000000003;00000000001;41;00000000001;00000000000;36;00000000001;00000000000;24;00000000005;00000000000;26;          1;         10;64;   .694;
R;2014;010;464;775;  ;000;27556;Potter, Jr., Ted;01;Frys.com Open;CordeValle GC;71;07379;07:30;075;110;T110;999; CUT;;  00000000000;  6;;124;         14;          4;92;;;              4;082;00000000331;106;00000000542;00000000002;122;00000003966;00000000014;105;          4;00000000008;00000000014;  51;00000000002;00000000003;;000;;000;         29.000;002;         29.000;00000000002;         98.917;004;         78.667;001;         26.250;001;        267.917;005;  ;;     22.500;          1;;;     22.500;          1;     23.750;          1;     41.750;          1;;;     42.167;          1;00000000018;  00000000010;99;        683.333;00000000018;  89;00000000013;    500.750;109;00000000004;    130.167;46;00000000002;     64.667;00000000002;     65.500;  00000000001;00000000002;00000000000;00000000006;00000000008;20;     29.833;          8;10;00000000001;00000000002;00000000002;00000000002;00000000001;00000000001;00000000001;00000000001;00000000002;00000000004;00000000002;00000000002;00000000003;00000000003;1;            7.667;00000000003;00000000000;00000000000;00000000032;00000000022;00000000006;00000000002;00000000012;     38.500;00000000657;00000000011;00000000011;00000000002;00000000001;  00000000005;00000000004;00000000003;00000000001;00000000002;00000000001;00000000000;00000000000;00000000001;00000000000;00000000000;00000000000;         18;         16;116;          6;            2;86;00000000010;00000000006;73;00000000024;00000000018;124;00000000002;00000000000;76;00000000000;00000000000;;00000000001;00000000000;24;00000000005;00000000000;26;;          8;104; 4.080-;
R;2014;010;464;775;  ;000;27644;Harman, Brian;01;Frys.com Open;CordeValle GC;71;07379;12:00;065;002;   2;007;  T7;;  00000000000;  6;          8;1;          8;          2;25;;;              2;019;00000000337;55;00000000619;00000000002;14;00000004123;00000000014;36;          5;00000000007;00000000014;  75;00000000003;00000000001;         20.750;002;           .333;001;         20.583;002;         41.667;00000000005;         20.917;001;         32.500;003;;000;        100.583;004;  ;;;;     10.583;          1;     10.583;          1;     16.333;          1;;;;;;;00000000018;  00000000014;14;        359.083;00000000018;  1;00000000013;    195.667;1;00000000002;     26.917;1;00000000001;     10.583;00000000001;     16.333;  00000000002;00000000001;00000000001;00000000002;00000000004;67;     23.500;          2;107;00000000001;00000000001;00000000000;00000000000;00000000001;00000000002;00000000000;00000000001;00000000000;00000000000;00000000001;00000000001;00000000000;00000000001;75;           22.833;00000000001;00000000000;00000000000;00000000027;00000000021;00000000009;00000000000;00000000009;     20.167;00000001180;00000000009;00000000009;00000000000;00000000000;  00000000003;00000000003;00000000002;00000000001;00000000000;00000000000;00000000000;00000000000;00000000000;00000000000;00000000001;00000000001;         12;         12;1;          3;            2;31;00000000005;00000000004;40;00000000015;00000000014;30;00000000004;00000000003;6;00000000002;00000000000;36;00000000004;00000000001;19;00000000002;00000000000;26;          4;         12;3;  2.707;
